First Word,Second Word,First Word Score,Second Word Score,Combined Score
cages,borty,151.19318093372038,117.77043090928578,268.96361184300616
cates,porny,154.99208384827486,113.83584612197276,268.8279299702476
pates,corny,153.90900716529612,114.91892280495148,268.8279299702476
boxes,party,151.70195525368186,117.11505181702273,268.81700707070456
paxes,borty,151.0465761614188,117.77043090928578,268.81700707070456
pomes,barny,150.7085622626756,118.07215448538315,268.78071674805875
capes,borty,150.94887087058936,117.77043090928578,268.71930177987514
hales,borty,150.90283599170405,117.77043090928578,268.6732669009898
wares,ponty,156.24120680507176,112.4300919851105,268.6712987901823
bines,foray,150.87974260205922,117.78325002576469,268.6629926278239
kores,banty,151.93070885995255,116.6664003485209,268.59710920847346
kanes,borty,150.82667829918765,117.77043090928578,268.5971092084734
tores,bandy,158.0249228120406,110.46602726636453,268.49095007840515
coxes,barny,150.33918820882388,118.07215448538315,268.41134269420706
vanes,borty,150.5206843720979,117.77043090928578,268.29111528138367
paces,borty,150.3556520438687,117.77043090928578,268.1260829531545
moues,barny,150.0355968030364,118.07215448538315,268.10775128841954
bodes,party,150.96477294013516,117.11505181702273,268.0798247571579
roles,banty,151.34496884994437,116.6664003485209,268.0113691984653
hares,ponty,155.54557542275876,112.4300919851105,267.97566740786925
hones,party,150.86061559084652,117.11505181702273,267.97566740786925
paves,borty,150.1777087078952,117.77043090928578,267.94813961718097
james,borty,150.14407078671996,117.77043090928578,267.91450169600574
pages,borty,150.11010425074164,117.77043090928578,267.8805351600274
cures,banty,151.0724404415421,116.6664003485209,267.738840790063
fates,corny,152.72050451099358,114.91892280495148,267.63942731594506
fires,banty,150.1398914162585,116.6664003485209,266.8062917647794
bakes,porty,150.8188144765923,115.32458718144906,266.1434016580414
mates,corny,151.06803830562941,114.91892280495148,265.98696111058086
vares,ponty,153.41517956843646,112.4300919851105,265.8452715535469
gates,corny,150.8795635864533,114.91892280495148,265.79848639140477
rales,ponty,153.13543348551804,112.4300919851105,265.56552547062853
tames,corny,150.5648752815512,114.91892280495148,265.4837980865027
dates,corny,150.3126250920714,114.91892280495148,265.2315478970229
rones,gaily,153.09321308466048,110.4285252249447,263.5217383096052
nares,jolty,152.76419727563695,108.32689163886508,261.09108891450205
